Index,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,turnout_difference,case_pct,death_pct,Men_pct,2016_county_winner,2020_county_winner
3101,0.749,0.189,6256.0,4686.0,1181.0,0.747,0.228,7089.0,5296.0,1619.0,40.87272618,-97.59710186,558.0,2.0,13832.0,6795.0,7037.0,4.9,90.9,1.2,0.3,0.3,0.0,10561.0,59966.0,6942.0,28298.0,1441.0,9.7,12.9,39.6,15.3,19.6,11.1,14.4,80.9,8.6,0.1,3.9,0.5,5.9,15.5,7132.0,77.1,13.9,8.9,0.2,2.4,833.0,0.040341237709658764,0.0035842293906810036,0.49125216888374784,R,R
3102,0.625,0.332,203153.0,126933.0,67428.0,0.615,0.367,233060.0,143415.0,85491.0,39.9210089,-76.73040131,6742.0,207.0,442216.0,218524.0,223692.0,6.9,84.3,5.2,0.1,1.4,0.0,336393.0,61707.0,624.0,30178.0,399.0,10.3,15.5,33.3,16.0,23.7,9.4,17.6,84.7,8.2,0.8,1.8,1.1,3.4,27.1,222038.0,84.0,11.0,4.8,0.1,5.4,29907.0,0.015245943158999221,0.030703055473153367,0.4941567017023355,R,R
3103,0.584,0.364,113425.0,66245.0,41230.0,0.574,0.41,144050.0,82727.0,59008.0,34.97281497,-81.18085944,7000.0,107.0,251664.0,121451.0,130213.0,5.1,71.2,18.9,0.6,1.9,0.1,183818.0,59394.0,1406.0,30387.0,569.0,12.3,16.5,36.4,14.5,27.1,8.0,13.9,83.7,9.3,0.4,1.0,0.7,4.9,26.9,121792.0,83.8,11.6,4.5,0.1,6.6,30625.0,0.027814864263462396,0.015285714285714286,0.4825918685231102,R,R
3104,0.553,0.381,34062.0,18823.0,12989.0,0.524,0.458,38604.0,20241.0,17683.0,37.24374789,-76.54412815,658.0,9.0,67196.0,33024.0,34172.0,6.0,72.0,12.7,0.2,5.3,0.2,48920.0,86781.0,3475.0,38193.0,1236.0,5.2,6.3,49.7,14.6,22.0,7.6,6.1,86.2,6.0,0.3,2.1,1.2,4.2,21.9,30172.0,67.4,27.9,4.5,0.2,6.4,4542.0,0.009792249538663016,0.013677811550151976,0.491457824870528,R,R
3105,0.86,0.114,7658.0,6587.0,873.0,0.863,0.126,8242.0,7112.0,1036.0,33.17659707,-98.68790885,620.0,11.0,18166.0,8922.0,9244.0,18.1,78.8,1.5,0.5,0.4,0.0,13070.0,46351.0,3907.0,25661.0,2290.0,16.5,25.9,31.5,17.8,21.9,15.1,13.7,83.0,9.0,0.0,0.6,1.4,6.1,15.3,8248.0,69.8,17.1,11.9,1.2,4.5,584.0,0.034129692832764506,0.017741935483870968,0.4911372894418144,R,R
3106,0.594,0.343,14929.0,8869.0,5115.0,0.593,0.378,27329.0,16210.0,10343.0,39.26255932,-121.3535644,1353.0,10.0,74644.0,38081.0,36563.0,27.4,56.3,3.2,1.0,6.3,0.3,49482.0,51776.0,2375.0,22814.0,791.0,18.5,25.0,29.3,19.9,24.1,13.8,13.0,78.3,13.4,1.0,1.2,1.4,4.8,30.7,27832.0,67.9,22.0,9.8,0.4,9.9,12400.0,0.018126038261615133,0.007390983000739098,0.5101682653662719,R,R
3107,0.505,0.45,40759.0,20586.0,18336.0,0.523,0.461,68427.0,35766.0,31562.0,32.76895712,-113.9066674,13994.0,358.0,204281.0,104914.0,99367.0,62.9,31.8,1.8,0.9,1.1,0.1,121564.0,43253.0,1376.0,20600.0,428.0,19.7,28.2,24.9,23.0,22.8,17.4,12.0,80.7,10.4,1.7,2.4,1.8,3.0,19.6,74891.0,74.4,20.8,4.6,0.2,10.9,27668.0,0.06850367875622304,0.02558239245390882,0.5135768867393443,R,R
3108,0.805,0.15,4664.0,3755.0,701.0,0.826,0.156,4885.0,4037.0,763.0,40.00346839,-102.4258673,227.0,1.0,10109.0,5010.0,5099.0,22.6,75.7,0.5,0.3,0.0,0.0,6732.0,44668.0,2373.0,24789.0,1902.0,14.3,21.7,29.4,14.4,22.2,21.4,12.6,68.8,13.8,0.1,6.5,0.3,10.5,15.7,4940.0,71.6,15.5,12.4,0.5,2.4,221.0,0.02245523790681571,0.004405286343612335,0.495597981996241,R,R
3109,0.328,0.656,3134.0,1028.0,2056.0,0.525,0.471,3867.0,2032.0,1820.0,27.00156391,-99.16987152,358.0,9.0,14415.0,7190.0,7225.0,94.1,5.2,0.0,0.0,0.7,0.0,6586.0,34550.0,6700.0,17817.0,3167.0,34.1,48.0,17.7,30.4,14.9,16.8,20.2,69.2,23.8,0.0,4.4,0.6,2.0,18.2,5146.0,66.0,21.0,12.6,0.4,12.4,733.0,0.0248352410683316,0.025139664804469275,0.4987859868192855,D,R
3110,0.204,0.777,3390.0,692.0,2633.0,0.34,0.654,4379.0,1490.0,2864.0,28.86617238,-99.76050829,470.0,19.0,12152.0,6163.0,5989.0,93.6,5.4,0.5,0.1,0.0,0.0,8053.0,25988.0,5009.0,13105.0,1562.0,36.2,56.3,29.0,24.3,14.7,16.7,15.3,80.5,7.4,0.4,2.1,4.2,5.4,13.7,4397.0,73.9,21.2,4.9,0.1,10.1,989.0,0.03867676102699144,0.04042553191489362,0.5071593153390388,D,D
